idedomuny;NomMun;pob_total;pob_hombres;pob_mujeres
1103980;TARIMORO;32355;15967;16388
1104080;TIERRABLANCA;9435;4762;4673
1104180;URIANGATO;30311;15080;15231
1104280;VALLE DE SANTIAGO;100733;49706;51027
1104380;VICTORIA;16823;8269;8554
1104480;VILLAGRAN;31221;15629;15592
1104580;XICHU;10393;5213;5180
1104680;YURIRIA;65745;32939;32806
1200180;ACAPULCO DE JUAREZ;409335;200585;208750
1200280;AHUACUOTZINGO;15632;7792;7840
1200380;AJUCHITLAN DEL PROGRESO;28167;13974;14193
1200480;ALCOZAUCA DE GUERRERO;11765;5945;5820
1200580;ALPOYECA;4259;2120;2139
1200680;APAXTLA;14551;7237;7314
1200780;ARCELIA;37067;18598;18469
1200880;ATENANGO DEL RIO;7392;3690;3702
1200980;ATLAMAJALCINGO DEL MONTE;3581;1754;1827
1201080;ATLIXTAC;13239;6503;6736
1201180;ATOYAC DE ALVAREZ;43743;21830;21913
1201280;AYUTLA DE LOS LIBRES;33283;16916;16367
1201380;AZOYU;30820;15552;15268
1201480;BENITO JUAREZ;13530;6715;6815
1201580;BUENAVISTA DE CUELLAR;10685;5389;5296
1201680;COAHUAYUTLA DE GUERRERO;11705;6062;5643
1201780;COCULA;17421;8625;8796
1201880;COPALA;10231;5294;4937
1201980;COPALILLO;9007;5141;3866
1202080;COPANATOYAC;9823;4996;4827
1202180;COYUCA DE BENITEZ;47483;23732;23751
1202280;COYUCA DE CATALAN;39799;20187;19612
1202380;CUAJINICUILAPA;19809;10091;9718
1202480;CUALAC;5532;2747;2785
1202580;CUAUTEPEC;12252;6216;6036
1202680;CUETZALA DE PROGRESO;11101;5572;5529
1202780;CUETZAMALA DE PINZON;24841;12497;12344
1202880;CHILAPA DE ALVAREZ;73335;35951;37384
1202980;CHILPANCINGO DE LOS BRAVO;98266;48060;50206
1203080;FLORENCIO VILLARREAL;12143;6097;6046
1203180;GENERAL CANUTO A NERI;10264;5024;5240
1203280;GENERAL HELIODORO CASTILLO;24606;12472;12134
1203380;HUAMUXTITLAN;12245;6071;6174
1203480;HUITZUCO DE LOS FIGUEROA;33403;16646;16757
1203580;IGUALA DE LA INDEPENDENCIA;83328;40670;42658
1203680;IGUALAPA;5493;2833;2660
1203780;IXCATEOPAN DE CUAUHTEMOC;8633;4212;4421
1203880;JOSE AZUETA;25751;13131;12620
1203980;JUAN R ESCUDERO;18623;9334;9289
1204080;LEONARDO BRAVO;16449;8268;8181
1204180;MALINALTEPEC;22231;11130;11101
1204280;MARTIR DE CUILAPAN;11379;5614;5765
1204380;METLATONOC;18005;8916;9089
1204480;MOCHITLAN;8770;4393;4377
1204580;OLINALA;16302;8266;8036
1204680;OMETEPEC;31427;15761;15666
1204780;PEDRO ASCENCIO ALQUISIRAS;8470;4091;4379
1204880;PETATLAN;34263;17391;16872
1204980;PILCAYA;9040;4504;4536
1205080;PUNGARABATO;19250;9661;9589
1205180;QUECHULTENANGO;22275;11343;10932
1205280;SAN LUIS ACATLAN;24459;12330;12129
1205380;SAN MARCOS;42649;21628;21021
1205480;SAN MIGUEL TOTOLAPAN;21023;10457;10566
1205580;TAXCO DE ALARCON;75912;37226;38686
1205680;TECOANAPA;29602;15247;14355
1205780;TECPAN DE GALEANA;52881;26790;26091
1205880;TELOLOAPAN;53315;26298;27017
